page,name,address,visibility,weekly_price,weekly_price_number
1,천호역 5분 복층,서울특별시 강동구 천호동 452-15 미사 아름채아파트 13층 1310,공개,"360,000원",360000
1,강동역1.5룸 B16,서울특별시 강동구 천호동 560-2 더하임 10층 1006호,공개,"350,000원",350000
1,강동역1.5룸 B15,서울특별시 강동구 천호동 560-2 더하임 10층 1005호,공개,"280,000원",280000
1,강동역1.5룸 B14,서울특별시 강동구 천호동 560-2 더하임 10층 1004호,공개,"300,000원",300000
1,미사역 원룸 I1,경기도 하남시 망월동 1135 미사역마이움푸르지오 8층 804호,공개,"320,000원",320000
1,길동 원룸 C6,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 13층 1303,공개,"240,000원",240000
1,송파 오금 H52,서울특별시 송파구 오금동 133-13 스타팰리스 5층 502호,공개,"180,000원",180000
1,초특가 강동 원룸 D6,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 14층 1412,공개,"280,000원",280000
1,강동역 1.5룸 B55,서울특별시 강동구 천호동 560-2 더하임 5층 505호,공개,"300,000원",300000
1,강동천호 풀옵션 B54,서울특별시 강동구 천호동 560-2 더하임 5층 504,공개,"280,000원",280000
2,길동역 성심병원 D7,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 14층 1416,공개,"420,000원",420000
2,"가산, 독산 원룸 L1",서울특별시 금천구 가산동 143-6 3층 328호,공개,"200,000원",200000
2,2룸2화1다이닝_M2,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 3층 203동 308호,공개,"330,000원",330000
2,올림픽 공원 성내 G3,서울특별시 강동구 성내동 548-4 에스아이팰리스 센트럴성내 6층 602호,공개,"280,000원",280000
2,V12 대치동 학원가,서울특별시 강남구 대치동 916-38 1층 102,공개,"550,000원",550000
2,V11 대치 학원투룸,서울특별시 강남구 대치동 916-38 1층 101호,공개,"750,000원",750000
2,V13 대치동 아늑방,서울특별시 강남구 대치동 916-38 1층 103호,공개,"450,000원",450000
2,계양 2룸 풀옵션,인천광역시 계양구 작전동 386-15 벧엘하이츠빌라 2층 202호,공개,"100,000원",100000
2,작전동 3룸2화,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 12층 101동 1204호,공개,"380,000원",380000
2,강동역 1.5룸 B46,서울특별시 강동구 천호동 560-2 더하임 4층 406,공개,"380,000원",380000
3,강동역 1.5룸 B64,서울특별시 강동구 천호동 560-2 더하임 6층 604호,공개,"280,000원",280000
3,서울역 특가 2룸 L5,서울특별시 중구 만리동1가 35-2 하람휴 11층 1001호,공개,"600,000원",600000
